单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
elementary,adj.,初步的;基本的; [化]元素的;自然力的,,,,,,,,,,,,,
elephant,n.,(动物)象,,,,,,,,,,,,,
elevate,vt.,"举起,提拔,振奋,提升…的职位",,,,,,,,,elevating,elevated,elevated,,
elevation,n.,提升，升高；海拔，高度；立面图,,,,,,,,,,,,,非大纲单词
elevator,n.,"电梯,升降机",,,,,,,,,,,,,
eleven,num.,十一,pron.&adj.,十一(个，只),,,,,,,,,,,
eligible,adj.,符合条件的;(尤指婚姻等)合适(意)的,,,,,,,,,,,,,
eliminate,vt.,"除去;淘汰;排(删,消)除;削减(人员)",,,,,,,,,eliminating,eliminated,eliminated,,
elite,n.,<法>[集合名词]精华;精锐;中坚分子,,,,,,,,,,,,,
eloquent,adj.,"雄辩的,有说服力的;善辩的,口才流利的",,,,,,,,,,,,,
else,adv.,其它，另外，别的；[与 or 连用]否则,,,,,,,,,,,,,
elsewhere,adv.,"在别处,向别处",,,,,,,,,,,,,
embark,v.,"(使)上船(或飞机,汽车等);着手,从事",,,,,,,,,embarking,embarked,embarked,,
embarrass,vt.,"使困窘,使局促不安;阻碍,麻烦",,,,,,,,,embarrassing,embarrassed,embarrassed,,
embassy,n.,大使馆;大使及其随员,,,,,,,,,,,,,
embed,vt.,把…嵌(埋、插)入，扎牢；使深留脑中,,,,,,,,,embedding,embedded,embedded,,
embody,vt.,"具体表达,使具体化;包含,收录",,,,,,,,,embodying,embodied,embodied,,
embrace,v.,拥抱;包含;包围;环绕;采用;接受,,,,,,,,,embracing,embraced,embraced,,
emerge,vt.,"显现,浮现;暴露;形成",,,,,,,,,emerging,emerged,emerged,,
emergency,n.,"紧急情况,突然事件,非常时刻",,,,,,,,,,,,,
emigrate,v.,"(反)immigrate;(to,from)自本国移居他",,,,,,,,,emigrating,emigrated,emigrated,,
emigration,n.,移居国外，移民出境,,,,,,,,,,,,,非大纲单词
eminent,adj.,显赫的;杰出的;有名的;优良的,,,,,,,,,,,,,
emission,n.,排放，散发；发出物,,,,,,,,,,,,,非大纲单词
emit,vt.,发出;放射;吐露;散发;发表;发行,,,,,,,,,emitting,emitted,emitted,,
emotion,n.,"情绪,情感,感情",,,,,,,,,,,,,
emperor,n.,皇帝,,,,,,,,,,,,,
emphasis,n.,"强调,重点",,,,,,,,,,,,,
emphasize,v.,(emphasise)强调,,,,,,,,,emphasizing,emphasized,emphasized,,
empire,n.,帝国,,,,,,,,,,,,,
empirical,adj.,"凭经验(或观察)的,经验主义的",,,,,,,,,,,,,
employ,n.&v.,"雇用;用,使用",,,,,,,,,employing,employed,employed,,
employee,n.,"雇工,雇员",,,,,,,,,,,,,
employer,n.,雇主,,,,,,,,,,,,,
employment,n.,"雇用;使用;工作,职业",,,,,,,,,,,,,
empowerment,n.,授权，赋权,,,,,,,,,,,,,非大纲单词
empty,adj.,空的;空洞的,v.,"倒空,使成为空的",,,,,,,emptying,emptied,emptied,,
enable,v.,"使能够,使成为可能;授予权利或方法",,,,,,,,,enabling,enabled,enabled,,
enclose,v.,"围住,圈起,封入",,,,,,,,,enclosing,enclosed,enclosed,,
enclosure,n.,"围住,圈起,封入,附件",,,,,,,,,,,,,
encounter,n.&v.,"遇到,遭遇",,,,,,,,,encountering,encountered,encountered,,
encourage,v.,"鼓励,怂恿",,,,,,,,,encouraging,encouraged,encouraged,,
encyclopedia,n.,(encyclopaedia)百科全书,,,,,,,,,,,,,
end,n.,末端，端，梢；目标，目的,v.,终止，结束,,,,,,,ending,ended,ended,,
endeavor,v.&n.,"(endeavour)努力,尽力,力图",,,,,,,,,endeavoring,endeavored,endeavored,,
ending,n.,"结尾,结局",,,,,,,,,,,,,
endlessly,adv.,无止境地，不断地,,,,,,,,,,,,,非大纲单词
endow,vt.,资助，捐赠；(with)给予，赋予,,,,,,,,,endowing,endowed,endowed,,
endurance,n.,"忍耐(力),持久(力),耐久(性)",,,,,,,,,,,,,
endure,v.,"忍受,持久,持续",,,,,,,,,enduring,endured,endured,,
enemy,n.,敌人，仇敌，反对者；敌人，敌军，敌国,,,,,,,,,,,,,
energetic,adj.,精力旺盛的;积极的;有力的,,,,,,,,,,,,,
energy,n.,"活力,精力;能,能量",,,,,,,,,,,,,
enforce,v.,"实施,执行;强制;支持,坚持(要求,主张等)",,,,,,,,,enforcing,enforced,enforced,,
engage,v.,"(in)从事,着手;约定;使订婚;保证;雇用",,,,,,,,,engaging,engaged,engaged,,
engagement,n.,"约会,约定;婚约,订婚",,,,,,,,,,,,,
engine,n.,"发动机,引擎;火车头",,,,,,,,,,,,,
engineer,n.,工程师,,,,,,,,,,,,,
engineering,n.,工程学,,,,,,,,,,,,,
enhance,v.,"提高,增强",,,,,,,,,enhancing,enhanced,enhanced,,
enjoy,vt.,享受…的乐趣；欣赏；喜爱,,,,,,,,,enjoying,enjoyed,enjoyed,,
enlarge,vt.,"扩大,放大,增大",,,,,,,,,enlarging,enlarged,enlarged,,
enlighten,v.,"启发,启蒙,教导",,,,,,,,,enlightening,enlightened,enlightened,,
enlightenment,n.,启发，启蒙；[E-]启蒙运动,,,,,,,,,,,,,非大纲单词
enormous,adj.,"巨大的,庞大的",,,,,,,,,,,,,
enough,adj.,(for)足够的,n.,"足够,充分",adv.,足够地,,,,,,,,,
enquire,v.,"(inquire)询问,打听;调查;查问",,,,,,,,,enquiring,enquired,enquired,,
enrich,v.,使富足;使肥沃;装饰;加料于;浓缩,,,,,,,,,enriching,enriched,enriched,,
enroll,v.,(enrol)招收;登记;入学;参军;成为会员,,,,,,,,,enrolling,enrolled,enrolled,,
enrollment,n.,注册，登记；入学；注册人数,,,,,,,,,,,,,非大纲单词
ensure,v.,"确保,保证;使安全",,,,,,,,,ensuring,ensured,ensured,,
entail,vt.,使承担;需要;把(疾病等)遗传给;限定,,,,,,,,,entailing,entailed,entailed,,
enter,vt.,进入；参加，加入；写入,vi.,进去，进来,,,,,,,entering,entered,entered,,
enterprise,n.,"事业,企(事)业单位;事业心,进取心",,,,,,,,,,,,,
entertain,v.,"招待,款待;使娱乐;使欢乐;容纳,接受",,,,,,,,,entertaining,entertained,entertained,,
entertainment,n.,"招待,款待;表演文娱节目",,,,,,,,,,,,,
enthusiasm,n.,"热情,热心;狂热;积极性(for)",,,,,,,,,,,,,
enthusiastic,adj.,"热情的,热心的",,,,,,,,,,,,,
entire,adj.,"完全的,全部的,完整的",,,,,,,,,,,,,
entirely,adv.,完全地，彻底地,,,,,,,,,,,,,非大纲单词
entitle,v.,给以权利(或资格);给…称号(题名);授权,,,,,,,,,entitling,entitled,entitled,,
entity,n.,"实体;存在(物);组织,机构;本质",,,,,,,,,,,,,
entrance,n.,"入口,门口;进入;入学,入会",,,,,,,,,,,,,
entrepreneur,n.,"[法]企业家, 主办人",,,,,,,,,,,,,
entry,n.,"进入,入口;通道;记载,条目",,,,,,,,,,,,,
envelope,n.,"信封,信皮;封套",,,,,,,,,,,,,
environment,n.,"环境,外界",,,,,,,,,,,,,
envisage,v.,想象，设想，展望，正视,,,,,,,,,envisaging,envisaged,envisaged,,
envy,v.&n.,"羡慕,忌妒",,,,,,,,,envying,envied,envied,,
epidemic,adj.,流行性的;传染的,n.,流行病;传播,,,,,,,,,,,
episode,n.,一段情节;片断;(连续剧的)一集,,,,,,,,,,,,,
epoch,n.,"新纪元;时代;时期;【地质】世,纪,期",,,,,,,,,,,,,
equal,adj.,相等的;胜任的,n.,相等的事务;对手,v.,等于,,,,,equalling,equalled,equalled,,
equality,n.,同等;平等;相等;等式;等同性,,,,,,,,,,,,,
equation,n.,"(数学)等式,方程式;(with)相等;均衡",,,,,,,,,,,,,
equator,n.,赤道,,,,,,,,,,,,,
equip,v.,"(with)装备,配备;训练",,,,,,,,,equipping,equipped,equipped,,
equipment,n.,"设备,器材,装置;才能",,,,,,,,,,,,,
equivalent,adj.,"(to)相等的,等价的",n.,"相等物,等价物",,,,,,,,,,,
era,n.,"时代,年代,阶段,纪元",,,,,,,,,,,,,
erase,v.,擦掉;删去;消磁,,,,,,,,,erasing,erased,erased,,
erect,v.,"树立,建立,使竖立",adj.,"直立的,垂直的",,,,,,,erecting,erected,erected,,
erosion,n.,"腐蚀,磨损;削弱,减少",,,,,,,,,,,,,
erroneous,adj.,"错误的,不正确的",,,,,,,,,,,,,
error,n.,"错误,过失",,,,,,,,,,,,,
erupt,v.,(尤指火山)爆发,,,,,,,,,erupting,erupted,erupted,,
escalate,v.,(使)逐步增长(或发展)，(使)逐步升级,,,,,,,,,escalating,escalated,escalated,,
escape,n.,"逃跑,逃脱",v.,"逃跑;避开,避免",,,,,,,escaping,escaped,escaped,,
escort,vt.,护送(卫)；陪同,n.,警卫，护送者；仪仗兵,,,,,,,escorting,escorted,escorted,,
especially,adv.,特别，尤其，格外；专门地，主要地,,,,,,,,,,,,,
essay,n.,"文章,短文",,,,,,,,,,,,,
essence,n.,"本质,实质",,,,,,,,,,,,,
essential,adj.,"本质的,基本的;净化的",n.,本质;要素,,,,,,,,,,,
establish,v.,"建立,设立;安置,使定居",,,,,,,,,establishing,established,established,,
establishment,n.,"建立,设立,建立的机构(或组织)",,,,,,,,,,,,,
estate,n.,房地产;不动产;所有权;地位;生活状况,,,,,,,,,,,,,
esteem,n.,尊敬，尊重,vt.,尊重，敬重；把…看作,,,,,,,esteeming,esteemed,esteemed,,
estimate,v.&n.,"估计,估价;评估",,,,,,,,,estimating,estimated,estimated,,
eternal,n.,"永久的,永恒的",,,,,,,,,,,,,
ethnic,adj.,种族的；人种学的,,,,,,,,,,,,,
evacuate,vt.,撤离，疏散，排泄，剥夺,,,,,,,,,evacuating,evacuated,evacuated,,
evade,vt.,逃避，回避；避开，躲避,,,,,,,,,evading,evaded,evaded,,
evaluate,v.,"估价,评价;求…的值",,,,,,,,,evaluating,evaluated,evaluated,,
evaporate,v.,"蒸发,挥发;沉淀;发射;消失",,,,,,,,,evaporating,evaporated,evaporated,,
eve,n.,"(节日等的)前夜,前夕",,,,,,,,,,,,,
even,adv.,甚至(更),adj.,均匀的;平的;相等的；偶数的,,,,,,,,,,,
evening,n.,傍晚，黄昏，晚上,,,,,,,,,,,,,
event,n.,"事件,事情",,,,,,,,,,,,,
eventually,adv.,"终于,最后",,,,,,,,,,,,,
ever,adv.,曾经；永远；在任何时候；究竟,,,,,,,,,,,,,
every,adj.,每一个的，每个的；每隔…的；全部的,,,,,,,,,,,,,
everybody,pron.,(everyone)每人，人人,,,,,,,,,,,,,
everyday,adj.,每日的，日常的,,,,,,,,,,,,,
everyone,pron.,(everybody)每人，人人，各人,,,,,,,,,,,,,
everything,pron.,每件事，一切；最重要的东西,,,,,,,,,,,,,
everywhere,adv.,到处，各处，无论何处,,,,,,,,,,,,,
evidence,n.,明显;显著;根据;证据;迹象,,,,,,,,,,,,,
evident,adj.,"明显的,明白的",,,,,,,,,,,,,
evil,adj.,"邪恶的,罪恶的",n.,"邪恶,罪恶",,,,,,,,,,,
evoke,vt.,唤起(回忆、感情等)；引起,,,,,,,,,evoking,evoked,evoked,,
evolution,n.,"进化,演变,发展,进展",,,,,,,,,,,,,
evolutionary,adj.,进化的，演化的,,,,,,,,,,,,,非大纲单词
evolve,v.,(使)发展;(使)进化;(使)进展,,,,,,,,,evolving,evolved,evolved,,
exacerbate,v.,使恶化，使加剧,,,,,,,,,exacerbating,exacerbated,exacerbated,,非大纲单词
exact,adj.,"确切的,正确的,精确的",,,,,,,,,,,,,
exaggerate,v.,"夸大,夸张",,,,,,,,,exaggerating,exaggerated,exaggerated,,
exam,n.,"(examination)考试,测验",,,,,,,,,,,,,
examine,v.,"检查,调查;对…进行考试",,,,,,,,,examining,examined,examined,,
example,n.,"例子,实例;模范,榜样",,,,,,,,,,,,,
exceed,v.,"超过,胜过;越出",,,,,,,,,exceeding,exceeded,exceeded,,
exceedingly,adv.,"极端地,非常",,,,,,,,,,,,,
excel,vi.,胜过其他;擅长,vt.,胜过，优于,,,,,,,excelling,excelled,excelled,,
excellent,adj.,"卓越的,极好的",,,,,,,,,,,,,
except,prep.,除…之外,v.,除外;反对,,,,,,,excepting,excepted,excepted,,
exception,n.,"例外,除外;反对;异议",,,,,,,,,,,,,
exceptional,adj.,"例外的,异常的",,,,,,,,,,,,,
excerpt,n.&vt.,摘录;引用,,,,,,,,,excerpting,excerpted,excerpted,,
excess,adj.,"过量的,额外的",n.,过量;过剩;超额;无节制,,,,,,,,,,,
excessive,adj.,过多的;过分的;额外,,,,,,,,,,,,,
exchange,v.&n.,"(for)交换,兑换;交流,交易;交换台",,,,,,,,,exchanging,exchanged,exchanged,,
excite,v.,"刺激,使激动;激发,激励",,,,,,,,,exciting,excited,excited,,
excitement,n.,"刺激,激动,兴奋",,,,,,,,,,,,,
exciting,adj.,"令人兴奋的,使人激动的",,,,,,,,,,,,,
exclaim,v.,"呼喊,惊叫,大声说",,,,,,,,,exclaiming,exclaimed,exclaimed,,
exclude,v.,"拒绝,把…排除在外,排斥",,,,,,,,,excluding,excluded,excluded,,
exclusive,adj.,独占的;排他的;孤高的;唯一的;高级的,,,,,,,,,,,,,
excursion,n.,"短途旅行,游览;离题; [物理]偏移,漂移",,,,,,,,,,,,,
excuse,v.,"原谅,宽恕,免除",n.,"借口,辩解",,,,,,,excusing,excused,excused,,
execute,v.,实行;实施;执行;完成;履行;处死,,,,,,,,,executing,executed,executed,,
executive,n.,"总经理,董事,行政负责人",adj.,"执行的,实施的",,,,,,,,,,,
exemplify,v.,举例证明;示范;作…的范例[榜样],,,,,,,,,exemplifying,exemplified,exemplified,,
exempt,adj.,免除的,v.,免除,n.,免税者;被免除义务者,,,,,exempting,exempted,exempted,,
exercise,n.,"练习,习题;训练,锻练",v.,"训练,锻练;行使",,,,,,,exercising,exercised,exercised,,
exert,v.,"尽(力),施加(压力等),努力",,,,,,,,,exerting,exerted,exerted,,
exhaust,v.,"使筋疲力尽,耗尽;抽完",n.,排气装置;废气,,,,,,,exhausting,exhausted,exhausted,,
exhibit,v.,"展出,陈列",n.,"展览品,陈列品",,,,,,,exhibiting,exhibited,exhibited,,
exhibition,n.,"展览会;陈列,展览",,,,,,,,,,,,,
exile,n.,流放；被流放者,vt.,流放，放逐，把…充军,,,,,,,exiling,exiled,exiled,,
exist,v.,存在;生存;生活,,,,,,,,,existing,existed,existed,,
existence,n.,"存在,实在;生存,生活(方式)",,,,,,,,,,,,,
exit,n.,"出口,通道",,,,,,,,,,,,,
exotic,adj.,奇异的;异国情调的;外(国)来的,,,,,,,,,,,,,
expand,v.,"(使)膨胀,(使)扩张;张开,展开",,,,,,,,,expanding,expanded,expanded,,
expansion,n.,"扩张,膨胀;张开,伸展",,,,,,,,,,,,,
expect,v.,"预期;期望,指望",,,,,,,,,expecting,expected,expected,,
expectation,n.,"预期,期望,指望",,,,,,,,,,,,,
expedition,n.,"远征(队),探险(队)",,,,,,,,,,,,,
expel,v.,把…开除;驱逐;排出;发射,,,,,,,,,expelling,expelled,expelled,,
expend,v.,"消费,花费",,,,,,,,,expending,expended,expended,,
expenditure,n.,"花费;(时间,金钱等的)支出,消耗",,,,,,,,,,,,,
expense,n.,"花费,消费,消耗",,,,,,,,,,,,,
expensive,adj.,"花费的,昂贵的",,,,,,,,,,,,,
experience,n.&vt.,经验;经历;体验;阅历,,,,,,,,,experiencing,experienced,experienced,,
experiment,n.,实验;试验,v.,(on)进行实验;做试验,,,,,,,experimenting,experimented,experimented,,
experimental,adj.,"实验(性)的,试验(性)的",,,,,,,,,,,,,
expert,n.,"专家,能手",adj.,"熟练的,有经验的;专门的",,,,,,,,,,,
expertise,n.,"专门知识(或技能等),专长",,,,,,,,,,,,,
expire,v.,"期满,(期限)终止;呼气;断气,死亡",,,,,,,,,expiring,expired,expired,,
explain,v.,"解释,说明",,,,,,,,,explaining,explained,explained,,
explanation,n.,"解释,说明",,,,,,,,,,,,,
explicit,adj.,"详述的,明确的;坦率的;显然的",,,,,,,,,,,,,
explode,v.,"(使)爆炸,(使)爆发",,,,,,,,,exploding,exploded,exploded,,
exploit,v.,开拓;开发;剥削,n.,功绩[勋] ;业绩,,,,,,,exploiting,exploited,exploited,,
exploitation,n.,开发，开采；剥削，利用,,,,,,,,,,,,,非大纲单词
exploration,n.,探索，勘探，探测,,,,,,,,,,,,,非大纲单词
explore,v.,"勘探,探测;探究,探索",,,,,,,,,exploring,explored,explored,,
explosion,n.,"爆炸,爆发",,,,,,,,,,,,,
explosive,adj.,"爆炸(性)的,爆发(性)的",n.,"爆炸物,炸药",,,,,,,,,,,
export,v.&n.,"输出,出口",n.,出口商品,,,,,,,exporting,exported,exported,,
expose,v.,"(to)使暴露,受到;使曝光",,,,,,,,,exposing,exposed,exposed,,
exposure,n.,"暴露,揭露;方向;陈列;遗弃;照射量",,,,,,,,,,,,,
express,v.,"表达,表示",adj.,"特快的,快速的",n.,"快车,快运",,,,,expressing,expressed,expressed,,
expression,n.,表达;表情;声调;腔调;榨出;措词;式;符号,,,,,,,,,,,,,
exquisite,adj.,优美的，高雅的，精致的；剧烈的，异常的,,,,,,,,,,,,,
extend,v.,"延长,延伸;扩充;给予;提供;估价",,,,,,,,,extending,extended,extended,,
extension,n.,延长;扩大;范围;大小;尺寸;电话分机,,,,,,,,,,,,,
extensive,adj.,"广大的,广阔的",,,,,,,,,,,,,
extent,n.,"广度,宽度,长度;程度,限度",,,,,,,,,,,,,
exterior,adj.,"外部的,外面的",n.,外部,,,,,,,,,,,
external,adj.,外部的;客观的;外国的;表面的; [医]外用的,,,,,,,,,,,,,
extinct,adj.,灭绝的;熄灭了的,,,,,,,,,,,,,
extinguish,v.,熄灭;消灭;结束;压制;使黯然失色;偿清,,,,,,,,,extinguishing,extinguished,extinguished,,
extra,adj.,"额外的,附加的",n.,"附加物,额外的东西",,,,,,,,,,,
extract,v.&n.,"拔出,抽出;摘录",n.,抽取物;精华;选集,,,,,,,extracting,extracted,extracted,,
extraordinary,adj.,非常的;格外的;意外的;离奇的;临时的,,,,,,,,,,,,,
extravagant,adj.,奢侈的;过分的;(言行等)放肆的,,,,,,,,,,,,,
extreme,adj.,"末端的,尽头的;极度的",n.,极端;最大程度,,,,,,,,,,,
eye,n.,眼(睛)；视力；眼力；监督,vt.,看，审视,,,,,,,eyeing,eyed,eyed,,
eyebrow,n.,眉毛,,,,,,,,,,,,,
eyesight,n.,视力,,,,,,,,,,,,,
fable,n.,寓言,,,,,,,,,,,,,
fabric,n.,织物;织品;结构;构造;建筑物,,,,,,,,,,,,,
fabricate,v.,"捏造,编造(谎言,借口等);建造,制造",,,,,,,,,fabricating,fabricated,fabricated,,
fabulous,adj.,极好的；极为巨大的；寓言中的，传说中的,,,,,,,,,,,,,
face,n.,"脸,面貌;表情;正面",v.,"面对着;朝,面向",,,,,,,facing,faced,faced,,
facilitate,v.,使变得(更)容易;使便利;推动;帮助;处进,,,,,,,,,facilitating,facilitated,facilitated,,
facility,n.,"灵巧,熟练;(pl.)设备,设施,便利条件",,,,,,,,,,,,,
fact,n.,"事实,实际",,,,,,,,,,,,,
factor,n.,"因素,要素",,,,,,,,,,,,,
factory,n.,工厂,,,,,,,,,,,,,
faculty,n.,"才能;学院,系;(学院或系的)全体教学人员",,,,,,,,,,,,,
fade,v.,"褪色;衰减,消失",n.,淡入(出),n.,乏味(平淡)的,,,,,fading,faded,faded,,
fail,v.,"失败,不及格;衰退,减弱",,,,,,,,,failing,failed,failed,,
failure,n.,"失败,不及格;失败者;故障,失灵;未能",,,,,,,,,,,,,
faint,adj.,微弱的;不明显的;暗淡的,n.&v.,昏倒;昏晕,,,,,,,fainting,fainted,fainted,,
fair,adj.,"公平的,合理的;相当的",n.,"集市,交易会",,,,,,,,,,,
fairly,adv.,"公正地,正当地;相当,还算",,,,,,,,,,,,,
fairy,adj.,幻想中的;虚构的;优雅的,n.,仙女;精灵,,,,,,,,,,,
faith,n.,"信任,信用;信仰,信条",,,,,,,,,,,,,
faithful,adj.,"守信的,忠实的,如实的,可靠的",,,,,,,,,,,,,
fake,n.,假货，赝品,adj.,假的，冒充的,v.,伪造；伪装,,,,,faking,faked,faked,,
fall,v.,"跌倒;下降;减弱;坠落;变成,陷于",n.,秋季,,,,,,,falling,fell,fallen,,
false,adj.,"谬误的,虚伪的,伪造的,假的",,,,,,,,,,,,,
fame,n.,名声;名望;传说,vt.,使出名;传扬…的名,,,,,,,faming,famed,famed,,
famed,adj.,著名的，出名的,,,,,,,,,,,,,非大纲单词
familiar,adj.,熟悉的;通晓的;亲近的,n.,熟客;密友,,,,,,,,,,,
family,n.,"家,家庭成员;氏族,家庭;族,科",,,,,,,,,,,,,
famine,n.,"饥荒,饥馑",,,,,,,,,,,,,
famous,adj.,著名的,,,,,,,,,,,,,
fan,n.,"扇子,风扇;(影,球等)迷",v.,"扇,扇动,激起",,,,,,,fanning,fanned,fanned,,
fancy,n.,"爱好,迷恋",v.,"想象,幻想",adj.,"花式的,奇特的",,,,,fancying,fancied,fancied,,
fantastic,adj.,"(fantastical)奇异的,幻想的,异想天开的",,,,,,,,,,,,,
fantasy,n.,幻想，空想；空想的产物，幻想作品,,,,,,,,,,,,,
far,adj.&adv.,远，久远，遥远,adv.,到…程度，…得多,,,,,,,,,,,
farcical,adj.,闹剧的，滑稽的，荒诞可笑的,,,,,,,,,,,,,非大纲单词
fare,n.,"车费,船费;伙食;乘客",v.,过活;进展;经营,,,,,,,faring,fared,fared,,
farewell,interj.,"再会,别了",n.,告别,,,,,,,,,,,
farm,n.,"农场,饲养场",v.,"种田,经营农牧业",,,,,,,farming,farmed,farmed,,
farmer,n.,"农民,农场主",,,,,,,,,,,,,
farther,adv.,"更远地,再往前地",adj.,更远的,,,,,,,,,,,
fascinate,v.,"迷住,强烈吸引",,,,,,,,,fascinating,fascinated,fascinated,,
fashion,n.,"流行式样(或货品),风尚,风气;样子,方式",,,,,,,,,,,,,
fashionable,adj.,"流行的,时髦的",,,,,,,,,,,,,
fast,adj.,快的，迅速的；坚固的,adv.,紧紧地；迅速地,,,,,,,,,,,
fasten,v.,"扎牢,使固定",,,,,,,,,fastening,fastened,fastened,,
fat,adj.,多脂肪的，肥胖的；丰厚的,n.,脂肪，肥肉,,,,,,,,,,,
fatal,adj.,"致命的,毁灭性的",,,,,,,,,,,,,
fate,n.,命运,,,,,,,,,,,,,
father,n.,父亲；创始人，发明者；(Father)神父,,,,,,,,,,,,,
fatigue,n.&v.,(使)疲劳,,,,,,,,,fatiguing,fatigued,fatigued,,
fault,n.,"过失,过错;缺点,毛病",,,,,,,,,,,,,
faulty,adj.,有错误的，有缺点的，不完善的,,,,,,,,,,,,,
favor,n.,(favour)好感;喜爱;关切,v.,"赞成,支持,偏爱",,,,,,,favoring,favored,favored,,
favorable,adj.,"(favourable)赞许的,有利的,讨人喜欢的",,,,,,,,,,,,,
favorite,n.,(favourite)最喜欢的人或物,adj.,喜爱的,,,,,,,,,,,
fax,n.&v.,传真(机),,,,,,,,,faxing,faxed,faxed,,
fear,n.,害怕，恐惧；危险,vt.,畏惧，害怕，担心,,,,,,,fearing,feared,feared,,
fearful,adj.,可怕的，吓人的；害怕，担心，惊恐,,,,,,,,,,,,,
feasible,adj.,可行的;切实可行的;行得通的;可用的,,,,,,,,,,,,,
feast,n.,节日;宴会,,,,,,,,,,,,,
feat,n.,功绩，伟业，技艺,,,,,,,,,,,,,
feather,n.,羽毛,,,,,,,,,,,,,
feature,n.,特征;容貌;特色;特写,v.,以…为特色,,,,,,,featuring,featured,featured,,
February,n.,二月,,,,,,,,,,,,,
federal,adj.,联邦的;联邦制的;联合的;同盟的,,,,,,,,,,,,,
federation,n.,同盟;联邦;联合;联盟;联合会,,,,,,,,,,,,,
fee,n.,"费(会费,学费等);酬金",,,,,,,,,,,,,
feeble,adj.,"虚弱的,无力的",,,,,,,,,,,,,
feed,v.,"(on,with)喂养,饲养;(with)向…供给",,,,,,,,,feeding,fed,fed,,
feedback,n.,反馈;反应;回授,,,,,,,,,,,,,
feel,v.,触；认为,vi.,摸上去有…感觉；摸索；觉得,,,,,,,feeling,felt,felt,,
